"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","babip","woba","xwoba","pull_percent","straightaway_percent","opposite_percent","batted_ball"
"García, Avisaíl","541645","2020","181","207","43","31","10","0","2",23.7,9.7,".238",".326",".333","0.659",".315",".296",".317",36.4,37.9,25.8,"132"
"Gregorius, Didi","544369","2020","215","237","61","39","10","2","10",11.8,6.3,".284",".488",".339","0.827",".285",".348",".311",42.6,27.4,30,"190"
"Contreras, Willson","575929","2020","189","225","46","29","10","0","7",25.3,8.9,".243",".407",".356","0.763",".307",".336",".353",37.3,37.3,25.4,"134"
"Villar, Jonathan","542340","2020","185","207","43","36","5","0","2",26.1,9.2,".232",".292",".301","0.593",".313",".266",".261",35.1,38.1,26.9,"134"
"Gosselin, Phil","594838","2020","92","102","23","15","5","0","3",26.5,9.8,".250",".402",".324","0.726",".323",".313",".295",33.8,40,26.2,"65"
"Lopez, Nicky","670032","2020","169","192","34","25","8","0","1",21.4,9.4,".201",".266",".286","0.552",".260",".254",".287",32.8,43.5,23.7,"131"
"Reyes, Victor","622682","2020","202","213","56","43","7","2","4",21.1,4.2,".277",".391",".315","0.706",".340",".307",".329",33.8,35,31.2,"157"
"Dickerson, Corey","572816","2020","194","210","50","37","5","1","7",16.7,7.1,".258",".402",".311","0.713",".283",".308",".305",26.4,39.6,34,"159"
"Ramírez, José","608070","2020","219","254","64","30","16","1","17",16.9,12.2,".292",".607",".386","0.993",".294",".415",".373",47.5,33.9,18.6,"177"
"Grandal, Yasmani","518735","2020","161","194","37","22","7","0","8",29.9,15.5,".230",".422",".351","0.773",".299",".338",".327",37.1,39,23.8,"105"
"Hoskins, Rhys","656555","2020","151","185","37","18","9","0","10",23.2,15.7,".245",".503",".384","0.887",".276",".382",".381",45.4,30.6,24.1,"108"
"Sanó, Miguel","593934","2020","186","205","38","13","12","0","13",43.9,8.8,".204",".478",".278","0.756",".301",".317",".326",53.1,30.2,16.7,"96"
"Ozuna, Marcell","542303","2020","228","267","77","45","14","0","18",22.5,14.2,".338",".636",".431","1.067",".391",".444",".434",42.6,33.1,24.3,"169"
"Profar, Jurickson","595777","2020","180","202","50","37","6","0","7",13.9,7.4,".278",".428",".343","0.771",".293",".335",".338",32.9,30.3,36.8,"155"
"Cruz Jr., Nelson","443558","2020","185","214","56","34","6","0","16",27.1,11.7,".303",".595",".397","0.992",".360",".411",".383",29.1,43.3,27.6,"127"
"Kemp, Matt","461314","2020","117","132","28","19","3","0","6",31.1,11.4,".239",".419",".326","0.745",".314",".322",".321",43.4,32.9,23.7,"76"
"Rendon, Anthony","543685","2020","189","232","54","33","11","1","9",13.4,16.4,".286",".497",".418","0.915",".302",".395",".390",43,34.2,22.8,"158"
"Dubón, Mauricio","643289","2020","157","177","43","34","4","1","4",20.3,8.5,".274",".389",".337","0.726",".328",".318",".319",37.1,32.3,30.6,"124"
"Hicks, Aaron","543305","2020","169","211","38","20","10","2","6",18,19.4,".225",".414",".379","0.793",".256",".351",".374",51.9,29.8,18.3,"131"
"Gonzalez, Marwin","503556","2020","175","199","37","28","4","0","5",20.6,8.5,".211",".320",".286","0.606",".241",".269",".314",42,37.7,20.3,"138"
"Davis, J.D.","605204","2020","190","229","47","32","9","0","6",24.5,13.5,".247",".389",".371","0.760",".318",".339",".355",30.4,43,26.7,"135"
"Naquin, Tyler","571980","2020","133","141","29","16","8","1","4",28.4,3.5,".218",".383",".248","0.631",".275",".268",".326",31.6,38.9,29.5,"95"
"Kepler, Max","596146","2020","171","196","39","21","9","0","9",18.4,11.2,".228",".439",".321","0.760",".236",".328",".340",42.6,32.4,25,"136"
"Olivares, Edward","658668","2020","96","101","23","17","2","1","3",24.8,4,".240",".375",".267","0.642",".290",".275",".286",36.1,47.2,16.7,"72"
"Pujols, Albert","405395","2020","152","163","34","20","8","0","6",15.3,5.5,".224",".395",".270","0.665",".230",".282",".299",50,31.3,18.8,"128"
"Choi, Ji Man","596847","2020","122","145","28","12","13","0","3",24.8,13.8,".230",".410",".331","0.741",".291",".316",".276",43.8,34.8,21.3,"89"
"Murphy, Sean","669221","2020","116","140","27","15","5","0","7",26.4,17.1,".233",".457",".364","0.821",".278",".358",".348",30.4,44.3,25.3,"79"
"Inciarte, Ender","542255","2020","116","131","22","18","2","1","1",19.1,9.2,".190",".250",".262","0.512",".228",".233",".253",35.1,41.5,23.4,"94"
"Bellinger, Cody","641355","2020","213","243","51","29","10","0","12",17.3,12.3,".239",".455",".333","0.788",".245",".337",".374",41.5,38.6,19.9,"171"
"Rosario, Amed","642708","2020","143","147","36","28","3","1","4",23.1,2.7,".252",".371",".272","0.643",".305",".277",".261",33,40.4,26.6,"109"
"Bogaerts, Xander","593428","2020","203","225","61","42","8","0","11",18.2,9.3,".300",".502",".364","0.866",".329",".368",".340",37.4,36.8,25.8,"163"
"Ruf, Darin","573131","2020","87","100","24","13","6","0","5",23,13,".276",".517",".370","0.887",".322",".379",".353",39.1,35.9,25,"64"
"Anderson, Tim","641313","2020","208","221","67","45","11","1","10",22.6,4.5,".322",".529",".357","0.886",".383",".376",".352",29.6,48.4,22,"159"
"Smith, Will","669257","2020","114","137","33","16","9","0","8",16.1,14.6,".289",".579",".401","0.980",".294",".411",".405",39.8,35.5,24.7,"93"
"Urshela, Gio","570482","2020","151","174","45","28","11","0","6",14.4,10.3,".298",".490",".368","0.858",".315",".365",".379",33.8,34.6,31.5,"130"
"Goldschmidt, Paul","502671","2020","191","231","58","39","13","0","6",18.6,16,".304",".466",".417","0.883",".364",".387",".396",33.6,34.9,31.5,"149"
"Moncada, Yoán","660162","2020","200","231","45","28","8","3","6",31.2,12.1,".225",".385",".320","0.705",".315",".309",".290",38.5,35.4,26.2,"130"
"Marmolejos, José","592530","2020","107","115","22","12","4","0","6",27.8,6.1,".206",".411",".261","0.672",".232",".287",".317",38.7,42.7,18.7,"75"
"Martinez, J.D.","502110","2020","211","237","45","22","16","0","7",24.9,9.3,".213",".389",".291","0.680",".259",".290",".318",35.1,40.9,24,"154"
"Bell, Josh","605137","2020","195","223","44","33","3","0","8",26.5,9.9,".226",".364",".305","0.669",".273",".286",".297",36.4,37.1,26.4,"140"
